album,singer,singerGender,releaseDate,price,songNumber,totalSales,QQ,WYY,KUGOU,KUWO,MIGU
十七,S.H.E,female,2018/8/30,2,1,635006,0,635006,0,0,0
My Decade,Jessica,female,2017/8/9,10,6,626250,551710,0,57650,16890,0
Red Diary Page.2,脸红的思春期,female,2019/4/3,12,7,624228,0,624228,0,0,0
Too Busy,BOY STORY,male,2019/7/26,3,1,620115,531792,0,84009,4314,0
BlackACE,BlackACE,female,2019/5/31,5,2,613635,0,613635,0,0,0
Goodbye,NINEONE# / BULL,female,2020/9/30,5,2,611150,0,611150,0,0,0
Come to Me,王晰,male,2019/10/30,3,1,610776,554310,0,52764,2856,846
NEXT BEGINS,NEXT,male,2019/11/8,10,4,606780,0,602910,0,0,3870
The Shadows,SNH48_7SENSES,female,2020/7/29,9,10,606150,550056,0,38139,7452,10503
西窗,好妹妹,male,2015/12/1,16,8,597370,597370,0,0,0,0
Love Talk,威神V,male,2019/11/5,3,1,594804,575955,0,16647,2202,0
Make It Right,BTS (防弹少年团) / Lauv,male,2019/10/18,3,1,584499,0,584499,0,0,0
翻白眼II,周笔畅,female,2015/7/9,5,3,582605,582605,0,0,0,0
All Night (BTS WORLD OST Part.3),BTS (防弹少年团) / Juice WRLD,male,2019/6/21,3,1,579585,0,579585,0,0,0
在雨中,莫寒,female,2020/11/26,3,1,552606,522165,0,18429,12012,0
不如先庆祝能在一起,萧亚轩,female,2020/3/11,3,1,548997,526680,0,19152,3165,0
Abbey Road (Remastered),The Beatles,male,1969/9/26,22,17,547606,111496,423632,9684,2794,0
MY ART 0.5,钱正昊,male,2018/8/18,6,4,543372,0,543372,0,0,0
摇啊摇,UNINE,male,2020/1/18,3,1,540873,466734,0,63177,6843,4119
OUTTA MY HEAD,段宜恩,male,2020/1/11,3,1,514101,460791,0,41949,11361,0
下次旅行,李艺彤,female,2019/12/2,5,2,504880,0,504880,0,0,0
True Colors,U-KNOW,male,2019/6/12,15,6,504465,419235,0,62295,22935,0
自己的房间,田馥甄,female,2018/8/20,2,1,492898,0,492898,0,0,0
A Walk to Remember - Special Album,允儿,female,2019/5/30,8,5,485184,380536,0,81992,22656,0
UNFORGETTABLE,UNINE,male,2020/9/30,6,3,482700,411864,0,40482,23460,6894
EXO PLANET #5 –EXplOration– Live Album,EXO,male,2020/4/21,30,27,473790,370260,0,97680,5850,0
从未对你说过,段宜恩,male,2020/3/14,3,1,459489,0,459489,0,0,0
RE-CODE,CNBLUE,male,2020/11/17,10,5,454640,0,454640,0,0,0
Bad Alive (English Ver.),威神V,male,2020/7/29,3,1,450531,431082,0,13665,5784,0
WONDERLAND,Jessica,female,2016/12/9,10,6,445070,0,445070,0,0,0
I=U=WE：我,BOY STORY,male,2020/11/27,7,2,439901,411733,0,18606,9562,0
一辈子(A Lifetime),卜凡,male,2019/7/12,3,1,422850,407925,0,11349,2931,645
EQUAL,WOODZ,female,2020/6/29,12,7,411240,0,410712,0,0,528
Moments,洛天依,female,2020/7/12,16,8,400304,0,400304,0,0,0
1 (Remastered),The Beatles,male,2000/11/13,40,27,388144,110600,225840,48008,3696,0
小小星球,刘维,male,2020/3/24,17,10,382755,282336,70975,21862,4930,2652
请拨打我的电话please,黄明昊 (Justin),male,2019/11/26,3,1,377157,0,375375,0,0,1782
歌 时代II,张信哲,male,2019/1/15,20,10,372600,144820,99840,103540,13740,10660
Chocolate - The 1st Mini Album,最强昌珉,male,2020/4/6,15,6,364560,283890,0,43290,37380,0
耳鸣,周笔畅,female,2017/5/26,2,1,351744,351744,0,0,0,0
幸福路上,蔡依林,female,2017/11/20,2,1,348142,311770,0,27938,7090,1344
Happy - Single,太妍,female,2020/5/4,3,1,341274,306954,0,32430,1890,0
无 所 事 事,周笔畅,male,2017/6/28,2,1,327664,313040,0,10446,4178,0
Never Gonna Dance Again : Act 1 - The 3rd Album,泰民,male,2020/9/7,18,9,321822,292860,0,23814,5148,0
无瑕,丁泽仁,male,2019/11/19,3,1,321183,0,320886,0,0,297
最想去的地方,炎亚纶,male,2018/3/30,5,3,320815,0,320815,0,0,0
如影,林陌,male,2020/11/15,3,1,320541,0,320541,0,0,0
Caution,Mariah Carey,female,2018/11/16,18,10,318338,279608,0,32802,5928,0
Let It Be (Remastered),The Beatles,male,1970/5/8,22,12,314846,115104,192148,6198,780,616
Blossom,谷蓝帝,male,2020/7/13,6,3,314616,287472,0,14454,12690,0
沙发里有沙发Radio,鱼丁糸,male,2020/8/7,3,1,312918,0,312918,0,0,0
Sgt. Pepper's Lonely Hearts Club Band (Remastered),The Beatles,male,1967/6/1,22,13,304502,61942,235554,6434,572,0
FAKE LOVE (Rocking Vibe Mix),BTS (防弹少年团),male,2018/6/4,2,1,304292,0,304292,0,0,0
i'M THE TREND,(G)I-DLE,female,2020/7/7,3,1,288447,0,288447,0,0,0
猫じゃらし,RADWIMPS,female,2020/4/6,5,1,286790,0,286790,0,0,0
